,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
0,McDonald's,4.5,27,"Burgers, Beverages, Cafe, Desserts",Kandivali East,75,30
1,KFC,4.2,30,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East,80,40
2,Domino's Pizza,4.3,25,"Pizzas, Italian, Pastas, Desserts",Thakur Village,299,0
3,Charcoal Eats - Biryani & Beyond,4.3,24,"Biryani, Kebabs, Hyderabadi, North Indian",Malad Kan East,100,50
4,Sandwizzaa,4.6,22,"Snacks, Fast Food, Beverages, Jain",Kandivali East,120,60
5,1441 Pizzeria,3.8,32,"Italian, Pizzas, Pastas",Kandivali East,120,60
6,Hangout Cakes & More,4.4,24,"Desserts, Bakery",Borivali West,150,60
7,Love & Cheesecake ,4.5,14,Desserts,Kandivali East,0,0
8,Nothing But Chicken,4.5,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food",Kandivali East,50,20
9,Sweet Bengal,4.6,13,"Sweets, Indian, Snacks, Desserts",Kandivali East,50,20
10,Atta Girl,4.7,27,South Indian,Malad West,0,0
11,NIC Ice Creams,4.7,17,"Ice Cream, Desserts",Kandivali East,149,0
12,Poetry By Love & Cheesecake,4.4,34,Desserts,Kandivali West,0,0
13,Havmor Havfunn Ice Cream,4.6,18,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",Malad Kan East,0,0
14,NOTO - Ice Creams & Desserts,4.6,15,Ice Cream,Kandivali East,799,0
15,McDonald's Gourmet Burger Collection,4.3,26,"Burgers, Beverages, Cafe, Desserts",Malad Kan East,0,0
16,Grameen Kulfi,4.7,16,"Ice Cream, Desserts",Kandivali East,99,0
17,Surbhi Sweets And Snacks,4.2,24,"Sweets, Chaat, Snacks, Desserts, Beverages, Indian",Dahisar East,599,0
18,Jumboking Indian Burger,4.5,25,"American, Mexican, Fast Food, Snacks, Beverages",Dahisar East,449,0
19,Theobroma,4.5,23,"Bakery, Desserts",Borivali West,999,0
20,Amul Real Milk Real Ice Cream,4.3,29,Ice Cream,Borivali West,749,0
21,"Dabba Garam (Homestyle,Combo, Thali & More)",4.5,35,"Home Food, North Indian, Thai",Borivali,45,15
24,Bakingo-Cakes & Desserts,4.4,33,"Bakery, Desserts, Beverages, Snacks",Kandivali West,999,0
26,NH1 Bowls - Highway To North,4.7,43,"North Indian, Punjabi, Home Food",Kandivali East,100,50
27,63 By-Lane,4.3,36,"Pizzas, Pastas, Salads",Malad Kan East,699,0
28,Nishi Home Delites,4.6,27,"Indian, Punjabi",Kandivali East,1,0
29,Rasobongo,4.4,13,"Bengali, Sweets, Desserts, Snacks",Kandivali East,40,10
30,Central Prabhu,4.4,35,"Mughlai, North Indian, Chinese, Konkan, Malwani",Borivali East,299,0
31,Peetuk,4.2,22,"Biryani, Bengali",Kandivali East,249,0
32,The Joy Pizzateria,4.1,24,"Pizzas, Beverages",Kandivali East,120,60
33,Theobroma,4.5,15,"Bakery, Desserts",Kandivali East,999,0
34,Third Wave Coffee,4.3,18,"Cafe, Beverages, Desserts",Malad Kan East,50,20
35,Big Bowl,4.3,24,"North Indian, Chinese, Tibetan, Desserts",Kandivali East,169,0
36,Shree mithai,4.7,24,Indian,Borivali,0,0
37,Breadkraft,4.3,21,Pizzas,Mumbai,75,30
38,The Bengal Club,4.1,18,Bengali,Malad Kan East,249,0
39,Shawarmaji,4.4,16,Lebanese,Thakur village Kandivali east,1,0
41,Good Flippin' Burgers,4.6,18,"American, Fast Food, Burgers",Kandivali East,50,20
42,Achija,4.2,22,"North Indian, South Indian, Chinese, Beverages, Indian, Burgers, Chaat",Kandivali East,0,0
43,Granville Greens,4.4,36,"North Indian, South Indian, Chinese, Beverages, Italian, Mexican, Lebanese, Thai",Borivali,500,10
44,New kathiyawadi dhaba,4.3,34,"Indian, South Indian, Punjabi, Rajasthani",Borivali,700,10
45,Granville IDC Kitchen (Borivali),4.5,34,South Indian,Borivali West,0,0
46,Nirvana,4.4,32,"North Indian, Jain, Kebabs, Biryani, Chinese",Malad Kan East,0,0
47,Banglore Iyanger Bakery,4.5,13,Bakery,Malad Kan East,40,10
48,Sweet County Cake Shop,4.6,25,"Desserts, Bakery, Snacks",Kandivali East,0,0
49,The Netrik's Joint,4.1,18,"Fast Food, Pizzas, Snacks, Chinese, Beverages",Malad Kan West,75,30
51,Gaurav Sweets And Namkeen,4.3,20,"Sweets, Snacks, Chaat",Malad Kan East,0,0
52,Raju's Kitchen,4.2,32,"Chinese, Indian", SARAAF CHOUDHARY NAGAR,40,10
53,Bayleaf,4.3,32,"Indian, Snacks",Kandivali East,1500,10
54,South Tiffin House,4.4,28,"South Indian, Fast Food, Snacks",Malad Kan East,75,30
55,Brijwasi Sweets,4.3,14,"Sweets, Snacks",Kandivali East,100,10
58,abCoffee,4.7,15,"Cafe, Beverages, Bakery, Desserts",Malad Kan East,50,20
59,K Bhagat Tarachand,3.8,25,North Indian,Malad Kan East,0,0
60,Saffron Restaurant,4.1,31,"North Indian, Chinese, Beverages, Tandoor, Kebabs",Kandivali East,1,0
61,Flavours Of China,4.4,33,Chinese,Borivali East,0,0
